name,rank,area,profile,homepage
Yasutaka Furukawa,Associate Professor,"Computer Vision, Deep Learning, Computer Graphics & Computational Photography",https://www.sfu.ca/computing/people/faculty/yasutakafurukawa1.html,http://www.cs.sfu.ca/~furukawa/
Qianping Gu,Professor,Network Communications and Algorithms,https://www.sfu.ca/computing/people/faculty/QianpingGu.html,http://www.cs.sfu.ca/~qgu/
Mohamed Hefeeda,"Professor
DIRECTOR","Computer Networks, Multimedia Communications",https://www.sfu.ca/computing/people/faculty/mohamedhefeeda.html,http://www.cs.sfu.ca/~mhefeeda/
Valentine Kabanets,"Professor
Undergraduate Program Director","Complexity of Computation, Automata and Logic",https://www.sfu.ca/computing/people/faculty/valentinekabanets.html,http://www.cs.sfu.ca/~kabanets/
Ke Li,Assistant Professor,"Machine learning, Computer Vision",https://www.sfu.ca/computing/people/faculty/ke-li.html,
Maxwell Libbrecht,Assistant Professor,Computational Biology and Machine Learning,https://www.sfu.ca/computing/people/faculty/maxlibbrecht11.html,http://www.cs.sfu.ca/~maxwl/
Jiangchuan (JC) Liu,"Professor
Graduate Program Director",Networking and multimedia communications,https://www.sfu.ca/computing/people/faculty/jiangchuanliu.html,http://www.cs.sfu.ca/~jcliu/
David Mitchell,Associate Professor,"Constraint satisfaction, Algorithms for deduction and other reasoning tasks",https://www.sfu.ca/computing/people/faculty/davidmitchell.html,http://www.cs.sfu.ca/~mitchell/
Jacquie Nelsen,Limited-Term Lecturer,Technical Writing,https://www.sfu.ca/computing/people/faculty/jacquie-nelsen.html,
Jian Pei,Professor,Databases and Data Mining,https://www.sfu.ca/computing/people/faculty/jianpei.html,http://www.cs.sfu.ca/~jpei/
Fred Popowich,Professor,Computational Linguistics and Logic Programming,https://www.sfu.ca/computing/people/faculty/fredpopowich.html,http://www.cs.sfu.ca/~popowich/
Anoop Sarkar,Professor,Computational Linguistics; Machine Learning; Probabilistic Grammars and Formal language theory,https://www.sfu.ca/computing/people/faculty/anoopsarkar.html,http://www.cs.sfu.ca/~anoop/
Oliver Schulte,Professor,"Machine Learning, Computational Logic, Computational Decision Theory",https://www.sfu.ca/computing/people/faculty/oliverschulte.html,http://www.cs.sfu.ca/~oschulte/
IGOR SHINKAR,ASSISTANT Professor,Computational complexity,https://www.sfu.ca/computing/people/faculty/igorshinkar.html,
Harinder Singh Khangura,Senior Lecturer,Instruction,https://www.sfu.ca/computing/people/faculty/harindersinghkhangura.html,http://www.cs.sfu.ca/~hskhangu/
Ping Tan,Associate Professor,"Computer Vision, Computer Graphics, Robotics",https://www.sfu.ca/computing/people/faculty/pingtan.html,http://www.cs.sfu.ca/~pingtan/
Richard Vaughan,Professor,Robotics and Autonomous Systems,https://www.sfu.ca/computing/people/faculty/richardvaughan.html,http://www.cs.sfu.ca/~vaughan/
Jiannan Wang,Associate Professor,Database Systems and Big Data,https://www.sfu.ca/computing/people/faculty/jiannanwang.html,https://www.cs.sfu.ca/~jnwang/
Tao Wang,Assistant Professor,"Machine Learning, Computer Security",https://www.sfu.ca/computing/people/faculty/tao-wang.html,https://www.cs.sfu.ca/~taowang
Tianzheng Wang,Assistant Professor,"Database Systems, Parallel and Distributed Systems",https://www.sfu.ca/computing/people/faculty/tianzhengwang.html,
Cynthia Xie,Senior Lecturer,Mandarin Chinese Instruction for the Dual Degree Program,https://www.sfu.ca/computing/people/faculty/cynthiaxie.html,
Ryan Shea,Assistant Professor,,,
